Species,Fos,Ter,Aqu,Arb,Leaves,Flowers,Seeds,Fruits,Arthro,Vert,Diu,Noc,Crepu,Wet_warm,Wet_cold,Dry_warm,Dry_cold,Body_mass_g,Age_at_maturity_min_y,Age_at_maturity_max_y,Body_size_mm,Size_at_maturity_min_mm,Size_at_maturity_max_mm,Longevity_max_y,Litter_size_min_n,Litter_size_max_n,Reproductive_output_y,Offspring_size_min_mm,Offspring_size_max_mm,Dir,Lar,Viv,OBS
Rana_temporaria,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,47.6,2,6,110,50,83,27,265,4000,1,1.7,3,0,1,0,NA
Rana_tsushimensis,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8,NA,NA,NA,300,500,1,1.7,2.3,0,1,0,NA
Rana_zhenhaiensis,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,NA,NA,NA,436,883,1,1.8,1.8,0,1,0,NA
Sanguirana_sanguinea,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Staurois_guttatus,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Staurois_latopalmatus,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Staurois_natator,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.3,NA,NA,NA,NA,NA,1,1.9,1.9,0,1,0,NA
Staurois_parvus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Staurois_tuberilinguis,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Buergeria_buergeri,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,19.8,NA,NA,76,NA,NA,NA,177,659,1,2,2.8,0,1,0,NA
Buergeria_japonica,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,37,NA,NA,NA,38,601,1,1.2,1.4,0,1,0,NA
Buergeria_oxycephala,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.5,NA,NA,NA,NA,NA,1,1.5,1.5,0,1,0,NA
Buergeria_robusta,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.1,NA,NA,NA,600,600,1,2.5,2.5,0,1,0,NA
Chirixalus_doriae,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,NA,NA,NA,180,990,1,1.4,1.4,0,1,0,NA
Rohanixalus_hansenae,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,215,255,NA,NA,NA,0,1,0,NA
Chirixalus_nongkhorensis,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Chiromantis_rufescens,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,65,NA,NA,NA,113,201,1,2.5,3,0,1,0,NA
Rohanixalus_vittatus,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7,NA,NA,NA,217,217,1,1.5,1.5,0,1,0,NA
Chiromantis_xerampelina,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,13.4,NA,NA,90,NA,NA,NA,150,1250,1,1.8,2,0,1,0,NA
