"";"Species";"Body_size_mm";"Fos";"Ter";"Aqu";"Arb";"Dir";"Lar";"Viv"
"96";"Arthroleptis_xenodactyloides";23,8;0;1;1;0;1;0;0
"97";"Ascaphus_truei";50;0;1;1;0;0;1;0
"98";"Asterophrys_eurydactyla";33;NA;NA;NA;NA;NA;NA;NA
"99";"Asterophrys_leucopus";46,8;0;1;1;0;1;0;0
"100";"Asterophrys_marani";39;0;0;0;1;NA;NA;NA
"101";"Asterophrys_pullifer";41;0;1;0;0;0;1;0
"102";"Asterophrys_slateri";30;0;0;0;1;NA;NA;NA
"103";"Asterophrys_turpicola";NA;0;1;1;0;1;0;0
"104";"Astylosternus_occidentalis";65,3;0;1;1;1;0;1;0
"105";"Aubria_occidentalis";95;0;1;1;1;0;1;0
"106";"Austrochaperina_adamantina";28;0;1;1;0;1;0;0
"107";"Austrochaperina_adelphe";22;0;1;1;0;1;0;0
"108";"Austrochaperina_aquilonia";31;0;1;1;0;1;0;0
"109";"Austrochaperina_archboldi";38,4;0;1;1;0;1;0;0
"110";"Austrochaperina_basipalmata";39;0;1;1;0;1;0;0
"111";"Austrochaperina_blumi";26,3;0;1;1;0;1;0;0
"112";"Austrochaperina_brevipes";28;0;1;1;0;1;0;0
"113";"Austrochaperina_derongo";49,7;0;1;1;0;1;0;0
"114";"Austrochaperina_gracilipes";23;0;1;1;0;1;0;0
"115";"Austrochaperina_hooglandi";45,3;0;1;1;0;1;0;0
"116";"Austrochaperina_kosarek";21;0;1;1;0;1;0;0
"117";"Austrochaperina_macrorhyncha";37;0;1;1;0;1;0;0
"118";"Austrochaperina_mehelyi";21;0;1;1;0;1;0;0
"119";"Austrochaperina_minutissima";16,6;0;1;0;0;NA;NA;NA
"120";"Austrochaperina_novaebritanniae";21;0;1;1;0;1;0;0
"121";"Austrochaperina_palmipes";49;0;1;1;0;1;0;0
"122";"Austrochaperina_parkeri";30,6;0;1;1;0;1;0;0
"123";"Austrochaperina_polysticta";16,5;0;1;1;0;1;0;0
